Havre AC,1830030,21,5,4,1,0,148,123,25,1,0,1
CSM Gennevillois,1725060,18,6,3,0,3,152,122,30,2,2,4
C Ath Orsay Rugby Club,1725109,18,5,3,1,1,135,102,33,1,1,2
SC Le Rheu,1216023,17,6,3,0,3,146,129,17,1,2,3
C'chartres Rugby,1317015,17,4,3,1,0,115,82,33,1,0,1
Plaisir Rugby Club,1725138,16,6,3,0,3,144,120,24,0,2,2
SC Surgerien,1933048,15,5,2,1,2,125,108,17,1,2,3
Rugby Club de Courbevoie,1725042,14,4,2,1,1,113,88,25,1,1,2
Stade Poitevin Rugby,1933034,10,4,2,0,2,69,98,-29,0,0,0
Rugby Club Baulois,2131014,8,5,1,0,4,113,149,-36,1,1,2
Stade Domontois Rugby Club,1725046,4,6,1,0,5,109,185,-76,0,0,0
Antony Metro 92,1725003,4,4,0,1,3,47,110,-63,0,0,0
Paris Universite Club,1725135,26,5,5,0,0,238,59,179,4,0,4
RC Orleans,1317044,19,5,4,0,1,124,105,19,0,1,1
St Denis US,1725150,16,4,3,0,1,107,95,12,1,1,2
A Amicale S Sarcelles,1725158,15,4,3,0,1,113,101,12,1,0,1
RC Metz Moselle,1511017,12,5,2,0,3,117,138,-21,0,2,2
Club Ol Creusot Bourgogne,1115032,12,4,2,0,2,134,127,7,2,0,2
CA Pontarlier,1124018,11,4,2,0,2,65,84,-19,0,1,1
Grand Dole Rugby,1124009,9,4,1,0,3,99,96,3,1,2,3
ACBB Boulogne Billancourt,1725020,8,4,1,0,3,102,140,-38,0,2,2
Bourges XV,1317008,8,4,1,0,3,90,148,-58,0,2,2
US Ris Orangis,1725146,8,4,1,0,3,79,85,-6,0,2,2
UMS Pontault Combault,1725139,6,5,1,0,4,104,194,-90,0,0,0
UMS Pontault Combault,1725139,6,5,1,0,4,104,194,-90,0,0,0
RC Clermont Cournon D Auvergne,1013020,20,5,4,0,1,117,89,28,2,0,2
Stade Olympique Voiron,1010014,20,5,4,1,0,151,109,42,0,0,0
US Meyzieu,1028036,17,5,3,0,2,139,98,41,1,2,3
US Montmelianaise,1010034,15,5,3,0,2,98,84,14,0,1,1
RC Vichy,1013065,14,4,3,0,1,52,61,-9,0,0,0
CS Villefranche Sur Saone,1028069,14,4,3,0,1,94,84,10,0,0,0
US Annecy,1010003,14,5,2,0,3,126,102,24,1,3,4
Servette Rugby Club de Geneve,1028082,11,4,2,0,2,106,115,-9,0,1,1
US Nantua Port Rug Haut Bugey,1028039,10,5,1,1,3,124,135,-11,1,1,2
Saint Priest Rugby,1028055,7,4,1,0,3,65,119,-54,0,1,1
RC Rillieux,1028044,4,5,0,0,5,93,120,-27,0,2,2
R Ol Grasse,2221007,25,5,5,0,0,170,106,64,3,0,3
Rugby Club Tricastin,1022031,21,5,4,0,1,152,89,63,2,1,3
SC Royannais,1022041,17,4,3,0,1,125,61,64,2,1,3
CS Annonay,1022002,15,4,3,0,1,112,85,27,0,1,1
Rugby Club La Valette Le Revest La Garde Le Pradet,2221015,14,4,3,0,1,94,86,8,0,0,0
US Vinay,1010059,10,4,2,0,2,73,76,-3,0,0,0
Union Sportive Veore XV,1022005,10,5,2,0,3,90,145,-55,0,0,0
AS Bievre St Geoirs Rugby Club,1010041,8,4,1,0,3,67,111,-44,1,1,2
