171,Arcay Rugby Club Pays De Bourges,1317001,4
171,U S Bracieux,1317009,4
171,Cercle Jules Ferry Rugby Fleury Les Aubrais,1317026,1
171,U S Joue,1317032,9
171,A S Lamottoise,1317034,1
171,R C P Nogent Le Rotrou,1317043,3
171,R C Orleans La Source,1317045,1
171,U S St Pierre Des Corps,1317051,6
171,U S Vendomoise,1317057,3
171,S A Vierzonnais,1317058,7
191,A C Aubigny,1317003,1
191,Buzancais Rug Val Indre Brenne,1317011,1
191,Dammarie R C,1317021,5
191,R C Drouais,1317024,3
191,Rug Ent Esvres Montbazon,1317025,3
191,R C Gien Briare,1317030,5
191,U S M Montargis,1317040,1
191,R C Romorantin Sologne,1317047,6
191,Oval Club Sancoinnais,1317053,2
191,Union Sportive Berrichonne,1317060,5
221,Foecy Ovale Club,,-2
221,A S Luynoise Rugby,,#N/D
221,L'Ovale De Loire,,0
221,Oval Union Rugby Sud 28,,1
221,Ent S C St Amand Et R C Orval,,0
221,U S St Florent Sur Cher,,0
221,J.A.S.,,-1
221,Club Ath St Laurent Rugby,,0
221,R C De Lunery,,-2
221,Exempt,,0
271,Arcay Rugby Club Pays De Bourges,,-7
271,U S Bracieux,,5
271,Cercle Jules Ferry Rugby Fleury Les Aubrais,,4
271,U S Joue,,10
271,A S Lamottoise,,0
271,R C P Nogent Le Rotrou,,0
271,R C Orleans La Source,,2
271,U S St Pierre Des Corps,,0
271,U S Vendomoise,,6
271,S A Vierzonnais,,3
211,U S Argentonnaise,,1
211,Xv Cosnois Val De Loire,,5
211,R C Deolois,,1
211,Loches R O C,,3
211,Rugby Club Gaulois La Membrolle,,3
211,As Salbris,,7
211,C S Municipal Sullylois,,0
211,U S Orleanaise,,3
